date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:47:12	17339/17339	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20May%202015%2010:47:12%20GMT	http://www.fibersensing.com/market/civil/view/stress-monitoring	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/market/civil/view/stress-monitoring.html	(from http://www.fibersensing.com/market/civil)
18:47:13	149573/149573	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Oct%202014%2015:16:56%20GMT	http://www.fibersensing.com/media/applications/7/type2_t_nel_rossio2.jpg	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/media/applications/7/type2_t_nel_rossio2.jpg	(from http://www.fibersensing.com/market/civil)
18:47:13	7763/7763	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Sep%202014%2014:14:13%20GMT	http://www.fibersensing.com/public/files/market/civil-paralax-graph3.png	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/public/files/market/civil-paralax-graph3.png	(from http://www.fibersensing.com/market/civil)
18:47:15	7277/7277	---M--	200	added ('OK')	image/gif	date:Thu,%2016%20Oct%202014%2013:52:47%20GMT	http://www.fibersensing.com/media/customers/1/epos.gif	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/media/customers/1/epos.gif	(from http://www.fibersensing.com/market/civil)
18:47:15	4852/4852	---M--	200	added ('OK')	image/gif	date:Thu,%2016%20Oct%202014%2013:55:03%20GMT	http://www.fibersensing.com/media/customers/2/refer.gif	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/media/customers/2/refer.gif	(from http://www.fibersensing.com/market/civil)
18:47:18	12607/12607	---M--	200	added ('OK')	image/gif	date:Wed,%2022%20Oct%202014%2010:06:24%20GMT	http://www.fibersensing.com/media/customers/4/smartec_1.gif	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/media/customers/4/smartec_1.gif	(from http://www.fibersensing.com/market/civil)
18:47:18	15685/15685	---M--	200	added ('OK')	image/gif	date:Wed,%2022%20Oct%202014%2010:03:55%20GMT	http://www.fibersensing.com/media/customers/3/sites_1.gif	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/media/customers/3/sites_1.gif	(from http://www.fibersensing.com/market/civil)
18:47:18	17428/17428	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20May%202015%2010:47:19%20GMT	http://www.fibersensing.com/products/fbg-sensors/view/fs6300-weldable-temperature-sensor	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/products/fbg-sensors/view/fs6300-weldable-temperature-sensor.html	(from http://www.fibersensing.com/market/civil)
18:47:20	17434/17434	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20May%202015%2010:47:20%20GMT	http://www.fibersensing.com/products/fbg-sensors/view/fs6300-embedded-temperature-sensor	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/products/fbg-sensors/view/fs6300-embedded-temperature-sensor.html	(from http://www.fibersensing.com/market/civil)
18:47:28	54297/54297	---M--	200	added ('OK')	image/png	date:Fri,%2031%20Oct%202014%2019:28:47%20GMT	http://www.fibersensing.com/media/products/29/wts2.png	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/media/products/29/wts2.png	(from http://www.fibersensing.com/market/civil)
